rank,country,overall,government_pillar,technology_sector_pillar,data_infrastructure_pillar
151,Zimbabwe,30.71,24.08,23.41,44.63
152,Papua New Guinea,30.41,25.82,22.56,42.84
153,Cameroon,30.27,30.91,22.07,37.84
154,Gambia (Republic of The),30.25,25.13,20.81,44.81
155,Djibouti,29.95,19.43,29.5,40.92
156,Nicaragua,29.77,24.53,26.33,38.45
157,Timor-Leste,29.77,24.25,21.32,43.75
158,Togo,29.69,29.74,19.96,39.36
159,"Venezuela, Bolivarian Republic of",29.2,17.17,26.14,44.29
160,Angola,29.14,22.55,18.51,46.37
161,Solomon Islands,29.09,23.72,23.41,40.14
162,Madagascar,28.47,25.01,19.28,41.14
163,Equatorial Guinea,28.04,19.94,26.19,37.99
164,Burkina Faso,27.5,27.04,18.2,37.26
165,Mali,27.45,24.71,19.12,38.52
166,Guinea,27.44,26.65,19.99,35.69
167,Kiribati,27.4,25.74,16.64,39.83
168,Mauritania,27.09,22.21,22.27,36.8
169,Eswatini,27.05,23.8,18.21,39.15
170,Sao Tome and Principe,26.86,25.41,19.96,35.22
171,Lesotho,26.21,25.41,20.46,32.75
172,Mozambique,25.62,21.9,17.82,37.15
173,Libya,25.31,10.02,28.1,37.81
174,Malawi,24.87,22.0,20.49,32.11
175,Sierra Leone,24.83,21.85,18.1,34.52
176,Niger,24.71,25.48,15.88,32.77
177,Sudan,24.51,15.42,23.35,34.75
178,Congo,24.19,22.5,19.68,30.4
179,Guinea Bissau,24.11,15.31,18.81,38.22
180,Chad,23.44,21.1,16.65,32.56
181,Comoros,22.62,15.87,20.66,31.33
182,Liberia,22.24,19.28,19.9,27.55
183,Somalia,21.98,18.01,19.35,28.58
184,Haiti,21.97,8.92,22.89,34.1
185,Democratic Republic of the Congo,21.47,18.36,16.39,29.66
186,Afghanistan,21.27,13.99,21.71,28.11
187,Burundi,20.87,18.44,16.21,27.96
188,Yemen,19.89,19.59,30.94,9.13
189,Central African Republic,19.74,13.51,17.64,28.06
190,Eritrea,19.62,9.73,19.49,29.65
191,South Sudan,18.26,13.36,17.8,23.61
192,Syrian Arab Republic,18.12,13.67,28.13,12.55
193,Democratic People's Republic of Korea,9.2,8.03,14.27,5.29
